"구분","구분","링크","링크","링크","링크","링크","링크","링크","링크"
"광역시도","시군구","전체","고속도로","도시고속도로","일반국도","특별광역시도","국가지원지방도","지방도","시군도"
"강원도","태백시","2,429","0","0","616","0","0","83","1,730"
"강원도","속초시","3,279","38","0","172","0","121","96","2,852"
"강원도","삼척시","6,467","62","0","724","0","268","1,091","4,322"
"강원도","홍천군","8,496","276","0","1,594","0","270","1,407","4,949"
"강원도","횡성군","6,661","207","0","1,095","0","0","855","4,504"
"강원도","영월군","4,666","0","0","792","0","759","242","2,873"
"강원도","평창군","6,415","208","0","1,351","0","125","940","3,791"
"강원도","정선군","5,501","0","0","1,126","0","133","850","3,392"
"강원도","철원군","4,732","0","0","841","0","88","566","3,237"
"강원도","화천군","3,178","0","0","597","0","0","986","1,595"
"강원도","양구군","3,824","0","0","540","0","0","517","2,767"
"강원도","인제군","4,921","135","0","1,061","0","71","804","2,850"
"강원도","고성군","3,867","0","0","584","0","48","0","3,235"
"강원도","양양군","4,268","248","0","936","0","0","140","2,944"
"강원도","여유분","0","0","0","0","0","0","0","0"
"강원도","여유분","0","0","0","0","0","0","0","0"
"충청북도","청주시상당구","7,890","42","0","558","0","401","533","6,356"
"충청북도","청주시흥덕구","9,207","200","0","310","0","0","817","7,880"
"충청북도","충주시","14,813","416","0","1,077","0","514","1,480","11,326"
"충청북도","제천시","10,213","132","0","770","0","557","589","8,165"
"충청북도","보은군","4,391","159","0","884","0","0","901","2,447"
"충청북도","옥천군","5,022","147","0","645","0","0","891","3,339"
"충청북도","영동군","6,053","179","0","643","0","616","1,045","3,570"
"충청북도","증평군","2,421","0","0","224","0","0","332","1,865"
"충청북도","진천군","7,146","120","0","740","0","46","551","5,689"
"충청북도","괴산군","6,053","110","0","1,046","0","321","1,257","3,319"
"충청북도","음성군","9,652","252","0","695","0","534","1,332","6,839"
"충청북도","단양군","4,316","99","0","1,031","0","53","761","2,372"
"충청북도","청주시서원구","3,901","120","0","250","0","138","231","3,162"
"충청북도","청주시청원구","7,488","102","0","464","0","272","487","6,163"
"충청남도","공주시","8,212","444","0","1,535","0","269","1,421","4,543"
"충청남도","보령시","8,579","170","0","1,273","0","0","998","6,138"
"충청남도","아산시","14,375","187","0","1,215","0","210","1,320","11,443"
"충청남도","서산시","9,643","115","0","1,087","0","176","1,069","7,196"
"충청남도","논산시","7,724","251","0","615","0","437","1,173","5,248"
"충청남도","계룡시","1,965","7","0","48","0","0","0","1,910"
"충청남도","금산군","4,505","88","0","699","0","411","715","2,592"
"충청남도","부여군","5,828","175","0","1,190","0","141","1,113","3,209"
"충청남도","서천군","5,807","171","0","492","0","95","1,011","4,038"
"충청남도","청양군","4,436","152","0","689","0","364","677","2,554"
"충청남도","홍성군","7,668","81","0","685","0","389","479","6,034"
"충청남도","예산군","7,383","291","0","906","0","56","984","5,146"
"충청남도","태안군","5,412","0","0","1,037","0","25","172","4,178"
"충청남도","당진시","12,053","160","0","749","0","289","1,869","8,986"
"충청남도","천안시동남구","9,382","307","0","544","0","199","604","7,728"
"충청남도","천안시서북구","12,568","73","0","384","0","359","106","11,646"
"전라북도","전주시완산구","9,118","119","0","241","0","0","207","8,551"
"전라북도","전주시덕진구","8,823","77","0","452","0","0","52","8,242"
"전라북도","군산시","16,015","142","0","1,554","0","0","1,443","12,876"
"전라북도","익산시","16,165","64","0","890","0","11","1,903","13,297"
"전라북도","정읍시","11,041","131","0","1,151","0","219","1,578","7,962"
"전라북도","남원시","9,189","284","0","1,130","0","589","1,334","5,852"
"전라북도","김제시","10,485","398","0","1,081","0","0","2,041","6,965"
"전라북도","완주군","7,989","413","0","801","0","176","1,299","5,300"
"전라북도","진안군","5,046","99","0","1,005","0","555","727","2,660"
"전라북도","무주군","4,016","86","0","903","0","221","564","2,242"
"전라북도","장수군","4,579","100","0","1,054","0","0","1,016","2,409"
"전라북도","임실군","5,355","114","0","952","0","189","768","3,332"
"전라북도","순창군","5,346","52","0","1,055","0","211","623","3,405"
"전라북도","고창군","8,731","195","0","816","0","535","1,115","6,070"
"전라북도","부안군","8,147","162","0","1,104","0","0","1,329","5,552"
"전남광주통합특별시","목포시","10,103","0","0","127","0","0","33","9,943"
"전남광주통합특별시","여수시","11,174","0","0","1,014","0","256","415","9,489"
"전남광주통합특별시","순천시","11,791","337","0","1,479","0","340","985","8,650"
"전남광주통합특별시","나주시","10,126","96","0","861","0","413","1,032","7,724"
"전남광주통합특별시","광양시","10,321","138","0","429","0","212","1,085","8,457"
"전남광주통합특별시","담양군","5,808","225","0","838","0","261","706","3,778"
"전남광주통합특별시","곡성군","5,039","142","0","1,064","0","281","531","3,021"
"전남광주통합특별시","구례군","3,281","73","0","465","0","0","592","2,151"
"전남광주통합특별시","고흥군","7,757","12","0","1,496","0","132","952","5,165"
